Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"1,285.40",180.07,"2,415.19","2,409.58","2,331.94","2,305.75","1,744.14","1,060.44",368.80
Time To Second Token (ms),692.11,35.49,"2,198.61","2,163.65","1,992.08","1,473.42","1,439.92",740.99,47.45
Request Latency (ms),"8,304.74","6,156.75","10,630.02","10,627.39","10,611.66","9,493.03","8,468.12","8,205.06","8,139.05"
Inter Token Latency (ms),47.11,39.26,69.66,65.13,60.44,56.61,49.40,47.24,40.50
Output Token Throughput Per User (tokens/sec/user),21.63,14.36,25.47,25.47,25.46,25.39,24.69,21.17,20.24
Output Sequence Length (tokens),150.01,150.00,151.00,150.00,150.00,150.00,150.00,150.00,150.00
Input Sequence Length (tokens),"3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00"

Metric,Value
Output Token Throughput (tokens/sec),288.33
Request Throughput (per sec),1.92
Request Count (count),160.00
